Solver,Benchmark,Result
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvsge_bvudiv0_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvslt_bvshl0_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvsle_bvurem1_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvugt_bvshl1_4bit.sl,UNSOLVED
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_eq_bvashr0_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvsgt_bvudiv0_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvuge_bvshl0_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_ne_bvashr1_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvult_bvurem0_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvult_bvudiv1_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_ne_bvurem0_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvuge_bvlshr0_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvsle_bvneg_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvuge_bvor_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_ne_bvadd_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_eq_bvurem0_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvslt_bvudiv1_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvsle_bvlshr0_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvsgt_bvadd_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvslt_bvmul_4bit.sl,UNSOLVED
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvsgt_bvshl0_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_ne_bvudiv1_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvsle_bvadd_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvsge_bvlshr0_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvslt_bvashr0_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvslt_bvlshr0_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvule_bvmul_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_ne_bvand_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvuge_bvurem1_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvugt_bvor_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvugt_bvadd_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvugt_bvlshr0_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvugt_bvudiv1_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_ne_bvlshr1_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvule_bvshl0_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvsle_bvnot_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvuge_bvneg_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvsge_bvadd_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvult_bvlshr1_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvult_bvand_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_eq_bvnot_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvsle_bvudiv1_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvuge_bvand_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvsgt_bvashr0_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvuge_bvurem0_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvsgt_bvurem0_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvslt_bvadd_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_ne_bvor_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvuge_bvashr0_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvsgt_bvlshr1_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvsle_bvshl0_4bit.sl,SUCCESS
