Solver,Benchmark,Result
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/cars.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/jmbl_array.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/fib_41.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/minor1.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/jmbl_trex3.sl,UNSOLVED
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/jmbl_fig3.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/jmbl_anfp-new.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/jmbl_w1.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/jmbl_ex7.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/fib_08.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/jmbl_dec_vars-new.sl,UNSOLVED
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/jmbl_dec_simpl.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/jm2006_true-unreach-call_true-termination.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/jmbl_sum4_vars.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/jmbl_tacas.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/jmbl_dec-new.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/const_true-unreach-call1.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/fib_32.sl,UNSOLVED
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/jmbl_hola.41.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/fig2.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/minor2.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/minor3.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/jmbl_inc_vars.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/jmbl_matrix2_simp.sl,UNSOLVED
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/jmbl_fig1.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/jmbl_ex14_vars.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/jmbl_ex11_vars-new.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/jmbl_ex11_simpl.sl,SUCCESS
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/fib_33ns.sl,UNSOLVED
cvc4-syguscomp2019___v1_INV-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//Inv_Track/./From2018/vardep.sl,SUCCESS
