Solver,Benchmark,Result
cvc4-syguscomp2019___v1_PBE_BitVec-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_BV_Track/./from_2018/if0_70_10.sl,SUCCESS
cvc4-syguscomp2019___v1_PBE_BitVec-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_BV_Track/./from_2018/if0_70_100.sl,SUCCESS
cvc4-syguscomp2019___v1_PBE_BitVec-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_BV_Track/./from_2018/if0_70_1000.sl,SUCCESS
cvc4-syguscomp2019___v1_PBE_BitVec-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_BV_Track/./from_2018/PRE_1_10.sl,SUCCESS
cvc4-syguscomp2019___v1_PBE_BitVec-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_BV_Track/./from_2018/PRE_1_100.sl,SUCCESS
cvc4-syguscomp2019___v1_PBE_BitVec-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_BV_Track/./from_2018/PRE_1_1000.sl,SUCCESS
cvc4-syguscomp2019___v1_PBE_BitVec-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_BV_Track/./from_2018/PRE_2_10.sl,SUCCESS
cvc4-syguscomp2019___v1_PBE_BitVec-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_BV_Track/./from_2018/PRE_2_100.sl,SUCCESS
cvc4-syguscomp2019___v1_PBE_BitVec-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_BV_Track/./from_2018/PRE_2_1000.sl,SUCCESS
cvc4-syguscomp2019___v1_PBE_BitVec-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_BV_Track/./from_2018/PRE_3_10.sl,SUCCESS
cvc4-syguscomp2019___v1_PBE_BitVec-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_BV_Track/./from_2018/PRE_3_100.sl,SUCCESS
cvc4-syguscomp2019___v1_PBE_BitVec-f/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_BV_Track/./from_2018/PRE_3_1000.sl,SUCCESS
