Solver,Benchmark,Result
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/11440431.sl/454209713,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/11440431.sl/454209713,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/11440431.sl/454209713/2_output,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/11440431.sl/454209713,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/bikes.sl/454209700,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/bikes.sl/454209700/2_output,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/bikes.sl/454209700,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/bikes.sl/454209700,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/bikes-long.sl/454209790,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/bikes-long.sl/454209790,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/bikes-long.sl/454209790,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/bikes-long.sl/454209790/2_output,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/bikes-long-repeat.sl/454209786,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/bikes-long-repeat.sl/454209786/2_output,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/bikes-long-repeat.sl/454209786,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/bikes-long-repeat.sl/454209786,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/bikes_small.sl/454209702,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/bikes_small.sl/454209702,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/bikes_small.sl/454209702/2_output,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/bikes_small.sl/454209702,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/dr-name.sl/454209774,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/dr-name.sl/454209774,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/dr-name.sl/454209774/2_output,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/dr-name.sl/454209774,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/dr-name-long.sl/454209684,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/dr-name-long.sl/454209684/2_output,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/dr-name-long.sl/454209684,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/dr-name-long.sl/454209684,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/dr-name-long-repeat.sl/454209756,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/dr-name-long-repeat.sl/454209756,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/dr-name-long-repeat.sl/454209756/2_output,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/dr-name-long-repeat.sl/454209756,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/dr-name_small.sl/454209697,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/dr-name_small.sl/454209697/2_output,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/dr-name_small.sl/454209697,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/dr-name_small.sl/454209697,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/firstname.sl/454209707,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/firstname.sl/454209707,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/firstname.sl/454209707,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/firstname.sl/454209707/2_output,error (could not find reference sygus file)
CVC4-062118-sygusComp2018___smtproc_wclean/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//PBE_SLIA_Track/./from_2018/firstname-long.sl/454209771,error (could not find reference sygus file)
