Solver,Benchmark,Result,Time,Exprs
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_max6.sl,SUCCESS,0.07,201
cvc4-syguscomp2019___CLIA/,./from_2018/large_linear_func.sl,UNSOLVED,3600.03,n/a
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_VC22_b.sl,SUCCESS,25.34,12
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_5.sl,SUCCESS,0.04,349
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_sum_2_15.sl,SUCCESS,0.01,10
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_max15.sl,SUCCESS,8.06,1417
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_mpg_ite2.sl,SUCCESS,0.02,110
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_polynomial2.sl,SUCCESS,0.22,4
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_max11.sl,SUCCESS,1.02,780
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_sum_4_5.sl,SUCCESS,0.03,130
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_mpg_guard3.sl,SUCCESS,0.02,31
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_sum_7_5.sl,SUCCESS,0.08,625
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_mpg_guard2.sl,SUCCESS,0.02,27
cvc4-syguscomp2019___CLIA/,./from_2018/small_linear_func.sl,UNSOLVED,3600.11,n/a
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_max12.sl,SUCCESS,1.81,936
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_10.sl,SUCCESS,0.09,1025
cvc4-syguscomp2019___CLIA/,./from_2018/max18.sl,SUCCESS,54.60,2212
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_ninefuncs.sl,SUCCESS,0.04,27
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_tenfunc1.sl,SUCCESS,0.35,3598
cvc4-syguscomp2019___CLIA/,./from_2018/arraysearch20.sl,SUCCESS,0.24,3424
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_VC22_a.sl,SUCCESS,1.95,6
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_4.sl,SUCCESS,0.03,265
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_sum_10_5.sl,SUCCESS,0.17,1505
