Solver,Benchmark,Result
cvc4-syguscomp2019___CLIA/,./from_2018/arraysearch16.sl,FAIL-SYNTAX
cvc4-syguscomp2019___CLIA/,./from_2018/arraysearch17.sl,FAIL-SYNTAX
cvc4-syguscomp2019___CLIA/,./from_2018/arraysearch18.sl,FAIL-SYNTAX
cvc4-syguscomp2019___CLIA/,./from_2018/arraysearch19.sl,FAIL-SYNTAX
cvc4-syguscomp2019___CLIA/,./from_2018/arraysearch20.sl,FAIL-SYNTAX
cvc4-syguscomp2019___CLIA/,./from_2018/diff.sl,FAIL-SYNTAX
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_2.sl,FAIL-SYNTAX
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_3.sl,FAIL-SYNTAX
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_4.sl,FAIL-SYNTAX
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_5.sl,FAIL-SYNTAX
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_6.sl,FAIL-SYNTAX
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_7.sl,FAIL-SYNTAX
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_8.sl,FAIL-SYNTAX
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_9.sl,FAIL-SYNTAX
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_10.sl,FAIL-SYNTAX
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_11.sl,FAIL-SYNTAX
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_12.sl,FAIL-SYNTAX
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_13.sl,FAIL-SYNTAX
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_14.sl,FAIL-SYNTAX
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_15.sl,FAIL-SYNTAX
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_sum_2_5.sl,FAIL-SYNTAX
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_sum_2_15.sl,FAIL-SYNTAX
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_sum_3_5.sl,FAIL-SYNTAX
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_sum_3_15.sl,FAIL-SYNTAX
