Solver,Benchmark,Result,Time,Exprs
cvc4-syguscomp2019___v1_GENERAL-auto/,./woosuk/sygus_iter_102_0.sl,SUCCESS,904.82,10
cvc4-syguscomp2019___v1_GENERAL-auto/,./woosuk/sygus_iter_40_0.sl,UNSOLVED,3600.03,n/a
cvc4-syguscomp2019___v1_GENERAL-auto/,./woosuk/sygus_iter_29_1.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_GENERAL-auto/,./woosuk/sygus_iter_121_1.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_GENERAL-auto/,./woosuk/sygus_iter_32_1.sl,SUCCESS,2005.86,9
cvc4-syguscomp2019___v1_GENERAL-auto/,./woosuk/sygus_iter_39_1.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_GENERAL-auto/,./woosuk/sygus_iter_102_4.sl,UNSOLVED,3600.10,n/a
cvc4-syguscomp2019___v1_GENERAL-auto/,./woosuk/sygus_iter_9_0.sl,SUCCESS,1590.88,12
cvc4-syguscomp2019___v1_GENERAL-auto/,./woosuk/sygus_iter_40_1.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_GENERAL-auto/,./woosuk/sygus_iter_39_2.sl,SUCCESS,1946.42,9
cvc4-syguscomp2019___v1_GENERAL-auto/,./woosuk/sygus_iter_26_0.sl,UNSOLVED,3600.02,n/a
cvc4-syguscomp2019___v1_GENERAL-auto/,./woosuk/sygus_iter_101_1.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_GENERAL-auto/,./woosuk/sygus_iter_71_2.sl,SUCCESS,1652.42,10
cvc4-syguscomp2019___v1_GENERAL-auto/,./woosuk/sygus_iter_60_0.sl,UNSOLVED,3600.02,n/a
cvc4-syguscomp2019___v1_GENERAL-auto/,./woosuk/sygus_iter_57_2.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_GENERAL-auto/,./woosuk/sygus_iter_14_1.sl,UNSOLVED,3600.02,n/a
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvult_bvand.sl,SUCCESS,0.62,3
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvsge_bvmul.sl,UNSOLVED,3600.02,n/a
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvsle_bvurem1.sl,SUCCESS,275.08,7
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_ne_bvurem1.sl,SUCCESS,125.21,5
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvugt_bvshl1.sl,UNSOLVED,3600.09,n/a
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_ne_bvshl1.sl,SUCCESS,0.02,8
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvugt_bvashr0.sl,SUCCESS,2.67,5
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_eq_bvlshr0.sl,SUCCESS,234.89,7
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvslt_bvudiv0.sl,UNSOLVED,3600.03,n/a
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvsle_bvlshr0.sl,SUCCESS,1.58,5
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvult_bvurem0.sl,SUCCESS,0.74,3
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvslt_bvurem0.sl,SUCCESS,123.92,7
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_ne_bvneg.sl,SUCCESS,0.02,1
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_ne_bvashr0.sl,SUCCESS,0.02,1
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvugt_bvand.sl,SUCCESS,0.57,3
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvsgt_bvurem1.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvsgt_bvudiv0.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_ne_bvlshr1.sl,SUCCESS,0.02,8
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_ne_bvlshr0.sl,SUCCESS,164.10,7
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvugt_bvneg.sl,SUCCESS,1.07,5
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_eq_bvadd.sl,SUCCESS,0.02,1
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvsgt_bvshl1.sl,UNSOLVED,3600.02,n/a
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvsge_bvlshr0.sl,SUCCESS,328.40,7
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvsgt_bvlshr0.sl,SUCCESS,220.20,7
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvsle_bvashr1.sl,SUCCESS,318.12,7
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_eq_bvurem0.sl,SUCCESS,2.30,5
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvugt_bvurem0.sl,SUCCESS,56.20,6
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvuge_bvshl1.sl,UNSOLVED,3600.05,n/a
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvsle_bvneg.sl,SUCCESS,0.02,1
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvslt_bvurem1.sl,SUCCESS,255.74,7
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvuge_bvlshr1.sl,SUCCESS,0.62,3
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvsgt_bvnot.sl,SUCCESS,0.55,3
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvsge_bvneg.sl,SUCCESS,0.02,1
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvule_bvudiv1.sl,SUCCESS,142.78,7
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvslt_bvnot.sl,SUCCESS,0.63,3
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvsge_bvurem1.sl,UNSOLVED,3600.04,n/a
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_ne_bvnot.sl,SUCCESS,0.02,1
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_eq_bvashr1.sl,UNSOLVED,3600.11,n/a
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvule_bvashr0.sl,SUCCESS,0.01,1
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvsle_bvor.sl,SUCCESS,2.14,5
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvsgt_bvmul.sl,SUCCESS,3191.67,9
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_bvugt_bvadd.sl,SUCCESS,2.27,4
cvc4-syguscomp2019___v1_GENERAL-auto/,./bv-invertibility-conditions/ic_ne_bvashr1.sl,UNSOLVED,3600.01,n/a
