Solver,Benchmark,Result,Time,Exprs
cvc4-syguscomp2019___v1_INV-f/,./Lustre/rtp_9.lus.sl,SUCCESS,0.78,5
cvc4-syguscomp2019___v1_INV-f/,./Lustre/DRAGON_1.lus.sl,SUCCESS,0.29,6
cvc4-syguscomp2019___v1_INV-f/,./Lustre/ticket3i_2.lus.sl,SUCCESS,433.21,8
cvc4-syguscomp2019___v1_INV-f/,./Lustre/SYNAPSE_3_e7_425.lus.sl,SUCCESS,133.53,12
cvc4-syguscomp2019___v1_INV-f/,./Lustre/durationThm_1_e3_389_e4_294.lus.sl,SUCCESS,0.21,5
cvc4-syguscomp2019___v1_INV-f/,./Lustre/DRAGON_4.lus.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/FIREFLY_1_e1_1092_e2_1853.lus.sl,SUCCESS,518.07,15
cvc4-syguscomp2019___v1_INV-f/,./Lustre/car_6_e1_152.lus.sl,UNSOLVED,3600.02,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/ticket3i_all_e1_2706_e7_1776.lus.sl,UNSOLVED,3600.02,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/MOESI_2_e3_929_e8_1167.lus.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/microwave02.lus.sl,SUCCESS,0.24,1
cvc4-syguscomp2019___v1_INV-f/,./Lustre/car_3_e8_33.lus.sl,SUCCESS,883.70,11
cvc4-syguscomp2019___v1_INV-f/,./Lustre/FIREFLY_luke_1a.lus.sl,UNSOLVED,3600.04,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/SYNAPSE_1.lus.sl,SUCCESS,0.19,6
cvc4-syguscomp2019___v1_INV-f/,./Lustre/DRAGON_1_e1_3184_e7_1888.lus.sl,SUCCESS,0.26,6
cvc4-syguscomp2019___v1_INV-f/,./Lustre/microwave29.lus.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/ILLINOIS_r4a.lus.sl,UNSOLVED,3600.02,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/durationThm_1_e7_217_e2_352.lus.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/SYNAPSE_2_e8_656.lus.sl,SUCCESS,133.55,12
cvc4-syguscomp2019___v1_INV-f/,./Lustre/ILLINOIS_all.lus.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/MESI_i3_e1_447_e6_2281.lus.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/rtp_all_e7_2500.lus.sl,UNSOLVED,3600.02,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/durationThm_1_e7_217_e3_132.lus.sl,UNSOLVED,3600.02,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/microwave05.lus.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/DRAGON_3_e3_3846.lus.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/DRAGON_12.lus.sl,UNSOLVED,3600.10,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/metros_1_e8_725.lus.sl,SUCCESS,0.09,3
cvc4-syguscomp2019___v1_INV-f/,./Lustre/traffic.lus.sl,UNSOLVED,3600.02,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/car_all_e7_188_e7_743.lus.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/DRAGON_2_e1_2316.lus.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/speed2_e7_223_e8_329.lus.sl,SUCCESS,0.18,5
cvc4-syguscomp2019___v1_INV-f/,./Lustre/durationThm_3_e7_334_e2_62.lus.sl,UNSOLVED,3600.02,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/car_all.lus.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/rtp_3.lus.sl,SUCCESS,0.92,5
cvc4-syguscomp2019___v1_INV-f/,./Lustre/ticket3i_all_e7_591.lus.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/ILLINOIS_2.lus.sl,SUCCESS,341.50,15
cvc4-syguscomp2019___v1_INV-f/,./Lustre/SYNAPSE_2.lus.sl,SUCCESS,133.27,12
cvc4-syguscomp2019___v1_INV-f/,./Lustre/DRAGON_8.lus.sl,SUCCESS,165.07,16
cvc4-syguscomp2019___v1_INV-f/,./Lustre/FIREFLY_a3_e2_2952.lus.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/MESI_1_e2_162_e7_1545.lus.sl,SUCCESS,0.14,6
cvc4-syguscomp2019___v1_INV-f/,./Lustre/MOESI_2_e7_2910_e8_2590.lus.sl,UNSOLVED,3600.10,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/MESI_3_e2_819_e4_1595.lus.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/MOESI_2_e8_926_e3_1758.lus.sl,UNSOLVED,3600.02,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/FIREFLY_luke_2.lus.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/MESI_3_e1_2517_e8_2163.lus.sl,UNSOLVED,3600.11,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/car_4_e8_118_e7_178.lus.sl,SUCCESS,0.16,5
cvc4-syguscomp2019___v1_INV-f/,./Lustre/microwave26.lus.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/FIREFLY_luke_1b_e3_671_e6_1974.lus.sl,SUCCESS,513.44,15
cvc4-syguscomp2019___v1_INV-f/,./Lustre/MESI_i3_e1_447_e3_1180.lus.sl,SUCCESS,19.13,13
cvc4-syguscomp2019___v1_INV-f/,./Lustre/durationThm_3_e7_334_e3_42.lus.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/speed_e7_207_e7_538.lus.sl,SUCCESS,0.04,1
cvc4-syguscomp2019___v1_INV-f/,./Lustre/SYNAPSE_5.lus.sl,UNSOLVED,3600.09,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/MOESI_2_e3_929_e4_578.lus.sl,UNSOLVED,3600.11,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/metros_1_e1_846_e7_397.lus.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/ticket3i_1_e7_1669.lus.sl,UNSOLVED,3600.02,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/speed_e7_207_e8_507.lus.sl,SUCCESS,0.04,1
cvc4-syguscomp2019___v1_INV-f/,./Lustre/DRAGON_8_e3_786.lus.sl,SUCCESS,51.48,8
cvc4-syguscomp2019___v1_INV-f/,./Lustre/DRAGON_all2_e3_4612_e4_3719.lus.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/car_4_e7_592_e7_265.lus.sl,SUCCESS,0.15,5
cvc4-syguscomp2019___v1_INV-f/,./Lustre/two_counters.lus.sl,UNSOLVED,3600.05,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/car_all_e8_856.lus.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/DRAGON_all_e3_4821_e2_1089.lus.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/durationThm_3_e3_442_e4_165.lus.sl,SUCCESS,0.22,5
cvc4-syguscomp2019___v1_INV-f/,./Lustre/DRAGON_1_e2_1997.lus.sl,SUCCESS,0.29,6
cvc4-syguscomp2019___v1_INV-f/,./Lustre/SYNAPSE_6_e2_1439_e1_954.lus.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/MESI_3.lus.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/DRAGON_all.lus.sl,UNSOLVED,3600.02,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/DRAGON_10_e3_3429.lus.sl,SUCCESS,62.90,8
cvc4-syguscomp2019___v1_INV-f/,./Lustre/DRAGON_all_e1_4022_e2_267.lus.sl,UNSOLVED,3600.12,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/DRAGON_all_e2_6104_e3_2607.lus.sl,UNSOLVED,3600.08,n/a
cvc4-syguscomp2019___v1_INV-f/,./Lustre/MESI_1.lus.sl,SUCCESS,0.14,6
