Solver,Benchmark,Result,Time,Exprs
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_101_1000.sl,SUCCESS,3.84,31
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_7.2.sl,SUCCESS,0.22,65
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_140_1000.sl,SUCCESS,4.25,71
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_144_100.sl,SUCCESS,2.47,470
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_147_1000.sl,SUCCESS,2.59,12
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_11.5.sl,SUCCESS,0.32,33
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_14.14.sl,SUCCESS,33.81,278
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_115_10.sl,SUCCESS,0.03,11
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_11.6.sl,SUCCESS,0.02,2
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_121_10.sl,SUCCESS,9.07,38
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_46_10.sl,SUCCESS,0.07,10
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_15.3.sl,SUCCESS,0.43,99
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_131_1000.sl,SUCCESS,1.58,12
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_99_1000.sl,SUCCESS,5.88,25
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_111_1000.sl,SUCCESS,1.86,10
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_2_100.sl,SUCCESS,2.39,682
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_120_1000.sl,SUCCESS,0.17,1
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_1.16.sl,SUCCESS,0.20,83
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_55_10.sl,SUCCESS,0.02,8
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_101_100.sl,SUCCESS,0.50,120
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_110_1000.sl,SUCCESS,30.24,2933
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_15.12.sl,SUCCESS,1.56,45
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_5.9.sl,SUCCESS,0.28,137
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_12.11.sl,SUCCESS,0.05,18
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_3.4.sl,SUCCESS,0.02,2
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_40_10.sl,SUCCESS,0.20,75
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_9.6.sl,SUCCESS,1.56,171
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_23_100.sl,SUCCESS,0.35,22
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_2.10.sl,SUCCESS,0.95,65
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_2_10.sl,SUCCESS,0.61,66
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_43_100.sl,SUCCESS,0.37,22
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_116_1000.sl,SUCCESS,2.06,69
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_5.15.sl,SUCCESS,0.24,121
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_6.15.sl,SUCCESS,0.06,15
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_102_100.sl,SUCCESS,0.62,290
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_75_1000.sl,SUCCESS,0.80,12
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_6.3.sl,SUCCESS,0.45,208
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_14.3.sl,SUCCESS,1.37,110
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_57_100.sl,SUCCESS,0.64,172
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_72_100.sl,SUCCESS,0.71,13
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_10.20.sl,SUCCESS,18.48,340
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_11.7.sl,SUCCESS,0.09,43
