Solver,Benchmark,Result,Time,Exprs
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/stackoverflow7.sl,SUCCESS,0.00,22
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/join-cells-with-comma.sl,SUCCESS,0.00,20
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/find-nth-occurrence-of-character.sl,SUCCESS,12.77,36
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/stackoverflow8.sl,SUCCESS,15.11,76
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/stackoverflow4.sl,SUCCESS,16.42,162
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/remove-file-extension-from-filename.sl,SUCCESS,0.00,7
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/exceljet4.sl,SUCCESS,80.40,522
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/phone-5-short.sl,SUCCESS,0.00,25
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/remove-leading-and-trailing-spaces-from-text.sl,UNSOLVED,3599.99,n/a
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/count-specific-words-in-a-cell.sl,SUCCESS,0.00,8
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/extract-nth-word-from-text-string.sl,SUCCESS,241.18,83
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/phone-7-short.sl,SUCCESS,0.00,113
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/strip-numeric-characters-from-cell.sl,SUCCESS,0.00,33
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/remove-text-by-matching.sl,SUCCESS,0.55,7
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/cell-contains-specific-text.sl,SUCCESS,0.00,3
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/25239569.sl,SUCCESS,0.00,20
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/stackoverflow10.sl,SUCCESS,1.12,771
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/get-last-name-from-name-with-comma.sl,SUCCESS,26.20,20
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/39060015.sl,SUCCESS,64.56,111
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/stackoverflow9.sl,SUCCESS,128.68,117
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/stackoverflow1.sl,SUCCESS,58.02,44
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/17212077.sl,SUCCESS,1.05,54
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/count-consecutive-monthly-orders.sl,SUCCESS,6.25,46
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/count-total-characters-in-a-cell.sl,FAIL-SEMANTIC-UNSAT,0.00,n/a
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/cell-equals-one-of-many-things.sl,SUCCESS,737.53,12
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/40498040.sl,SUCCESS,0.00,6
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/cell-contains-some-words-but-not-others.sl,SUCCESS,0.00,3
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/count-total-words-in-a-cell.sl,SUCCESS,4.36,35
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/get-first-name-from-name.sl,SUCCESS,0.00,7
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/38871714.sl,FAIL-SEMANTIC-UNSAT,258.26,n/a
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/join-first-and-last-name.sl,SUCCESS,0.00,5
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/stackoverflow11.sl,SUCCESS,992.94,216
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/split-numbers-from-units-of-measure_2.sl,SUCCESS,0.00,22
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/28627624_1.sl,SUCCESS,5.68,9
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/19274448.sl,SUCCESS,0.00,3
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/count-specific-characters-in-a-cell.sl,SUCCESS,0.00,13
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/stackoverflow2.sl,SUCCESS,2.25,31
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/get-first-name-from-name-with-comma.sl,SUCCESS,5.74,66
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/remove-characters-from-left.sl,SUCCESS,0.00,15
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/strip-non-numeric-characters.sl,SUCCESS,0.00,40
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/cell-contains-one-of-many-with-exclusions.sl,SUCCESS,0.00,3
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/count-line-breaks-in-cell.sl,SUCCESS,0.00,21
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/get-domain-name-from-url.sl,SUCCESS,226.35,35
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/44789427.sl,SUCCESS,6.29,73
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/stackoverflow3.sl,SUCCESS,359.29,122
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/43120683.sl,SUCCESS,2.35,71
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/stackoverflow6.sl,SUCCESS,156.46,127
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/30732554.sl,SUCCESS,0.00,12
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/split-numbers-from-units-of-measure_1.sl,SUCCESS,0.00,21
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/cell-contains-one-of-many-things.sl,SUCCESS,0.00,3
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/31753108.sl,SUCCESS,8.68,158
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/convert-numbers-to-text.sl,SUCCESS,0.00,2
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/extract-text-between-parentheses.sl,SUCCESS,523.87,12
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/exceljet3.sl,SUCCESS,52.05,222
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/get-first-word.sl,SUCCESS,0.00,7
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/12948338.sl,SUCCESS,0.00,13
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/23435880.sl,SUCCESS,0.00,11
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/replace-one-character-with-another.sl,SUCCESS,0.59,7
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/remove-unwanted-characters.sl,SUCCESS,0.70,18
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/36462127.sl,SUCCESS,421.94,44
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/create-email-address-with-name-and-domain.sl,SUCCESS,0.00,9
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/create-email-address-from-name.sl,SUCCESS,0.00,7
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/remove-characters-from-right.sl,SUCCESS,0.00,8
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/split-text-and-numbers.sl,SUCCESS,0.00,28
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/exceljet2.sl,SUCCESS,24.91,48
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/get-last-line-in-cell.sl,UNSOLVED,3599.96,n/a
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/convert-text-to-numbers.sl,SUCCESS,0.00,2
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/cell-contains-number.sl,SUCCESS,0.00,6
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/add-a-line-break-with-a-formula.sl,SUCCESS,0.00,9
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/35744094.sl,SUCCESS,0.00,11
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/37534494.sl,SUCCESS,0.00,6
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/33619752.sl,SUCCESS,2.21,136
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/strip-html-from-text-or-numbers.sl,SUCCESS,205.16,106
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/11604909.sl,SUCCESS,2.10,19
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/34801680.sl,SUCCESS,290.99,133
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/extract-word-containing-specific-text.sl,SUCCESS,14.62,85
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/phone-6-short.sl,SUCCESS,0.00,26
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/get-last-word.sl,SUCCESS,121.97,51
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/37281007.sl,SUCCESS,0.00,3
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/clean-and-reformat-telephone-numbers.sl,SUCCESS,45.29,79
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/38664547.sl,SUCCESS,0.00,20
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/stackoverflow5.sl,SUCCESS,58.49,80
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/get-domain-from-email-address_2.sl,SUCCESS,0.00,7
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/exceljet1.sl,SUCCESS,138.58,106
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/remove-text-by-position.sl,SUCCESS,2101.32,205
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/get-last-name-from-name.sl,SUCCESS,8.78,26
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/split-text-string-at-specific-character.sl,SUCCESS,1360.58,131
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/19558979.sl,SUCCESS,0.00,31
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/change-negative-numbers-to-positive.sl,SUCCESS,0.00,4
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/2171308.sl,SUCCESS,0.94,12
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/compare-two-strings.sl,SUCCESS,0.00,3
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/phone-9-short.sl,SUCCESS,0.00,309
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/35016216.sl,SUCCESS,0.00,6
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/41503046.sl,SUCCESS,3.87,157
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/most-frequently-occurring-text.sl,SUCCESS,0.00,6
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/extract-word-that-begins-with-specific-character.sl,SUCCESS,87.09,60
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/position-of-2nd-3rd-etc-instance-of-character.sl,SUCCESS,2.68,4
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/cell-contains-all-of-many-things.sl,SUCCESS,0.00,3
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/get-middle-name-from-full-name.sl,SUCCESS,10.78,103
cvc4-syguscomp2019___v1_PBE_Strings-f/,./euphony/43606446.sl,SUCCESS,220.00,32
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/phone-9-long.sl,SUCCESS,94.42,105
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/bikes-long.sl,SUCCESS,1.85,7
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/11440431.sl,SUCCESS,6.37,16
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/name-combine-2-long-repeat.sl,SUCCESS,0.00,9
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/phone-5-long.sl,SUCCESS,85.98,25
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/univ_5_short.sl,SUCCESS,442.31,127
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/phone-5_short.sl,SUCCESS,3.87,21
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/phone-2.sl,SUCCESS,0.00,17
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/univ_5.sl,SUCCESS,410.26,133
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/phone-2-long-repeat.sl,SUCCESS,0.87,17
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/max3.sl,SUCCESS,1787.67,16
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/phone-6-long-repeat.sl,SUCCESS,85.77,26
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/firstname_small.sl,SUCCESS,0.00,7
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/name-combine-2_short.sl,SUCCESS,0.00,9
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/initials-long-repeat.sl,SUCCESS,3.27,16
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/name-combine-3-long.sl,SUCCESS,0.00,9
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/phone-1-long.sl,SUCCESS,0.56,4
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/initials.sl,SUCCESS,0.00,16
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/univ_5-long-repeat.sl,UNSOLVED,0.00,n/a
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/phone-10-long.sl,FAIL-SEMANTIC-UNSAT,137.49,n/a
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/dr-name-long.sl,SUCCESS,0.72,11
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/univ_4.sl,SUCCESS,0.91,69
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/phone-7.sl,SUCCESS,5.04,26
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/name-combine-3.sl,SUCCESS,0.00,9
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/phone-10_short.sl,FAIL-SEMANTIC-UNSAT,7.12,n/a
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/phone-7-long.sl,SUCCESS,89.17,26
cvc4-syguscomp2019___v1_PBE_Strings-f/,./from_2018/name-combine-4_short.sl,SUCCESS,0.00,11
